FromCurrency,ToCurrency,ConversionDate,ConversionRate,UserDefinedColumn1,UserDefinedColumn2
USD,USD,8/1/2016,1,,
USD,USD,8/2/2016,1,,
USD,USD,8/3/2016,1,,
USD,USD,8/4/2016,1,,
USD,USD,8/5/2016,1,,
USD,USD,8/6/2016,1,,
USD,USD,8/7/2016,1,,
USD,USD,8/8/2016,1,,
USD,USD,8/9/2016,1,,
USD,USD,8/10/2016,1,,
USD,USD,8/11/2016,1,,
USD,USD,8/12/2016,1,,
USD,USD,8/13/2016,1,,
USD,USD,8/14/2016,1,,
USD,USD,8/15/2016,1,,
USD,USD,8/16/2016,1,,
USD,USD,8/17/2016,1,,
USD,USD,8/18/2016,1,,
USD,USD,8/19/2016,1,,
USD,USD,8/20/2016,1,,
USD,USD,8/21/2016,1,,
USD,USD,8/22/2016,1,,
USD,USD,8/23/2016,1,,
USD,USD,8/24/2016,1,,
USD,USD,8/25/2016,1,,
USD,USD,8/26/2016,1,,
USD,USD,8/27/2016,1,,
USD,USD,8/28/2016,1,,
USD,USD,8/29/2016,1,,
USD,USD,8/30/2016,1,,
USD,USD,8/31/2016,1,,
USD,USD,9/1/2016,1,,
USD,USD,9/2/2016,1,,
USD,USD,9/3/2016,1,,
USD,USD,9/4/2016,1,,
USD,USD,9/5/2016,1,,
USD,USD,9/6/2016,1,,
USD,USD,9/7/2016,1,,
USD,USD,9/8/2016,1,,
USD,USD,9/9/2016,1,,
USD,USD,9/10/2016,1,,
USD,USD,9/11/2016,1,,
USD,USD,9/12/2016,1,,
USD,USD,9/13/2016,1,,
USD,USD,9/14/2016,1,,
USD,USD,9/15/2016,1,,
USD,USD,9/16/2016,1,,
USD,USD,9/17/2016,1,,
USD,USD,9/18/2016,1,,
USD,USD,9/19/2016,1,,
USD,USD,9/20/2016,1,,
USD,USD,9/21/2016,1,,
USD,USD,9/22/2016,1,,
USD,USD,9/23/2016,1,,
USD,USD,9/24/2016,1,,
USD,USD,9/25/2016,1,,
USD,USD,9/26/2016,1,,
USD,USD,9/27/2016,1,,
USD,USD,9/28/2016,1,,
USD,USD,9/29/2016,1,,
USD,USD,9/30/2016,1,,
USD,USD,10/1/2016,1,,
USD,USD,10/2/2016,1,,
USD,USD,10/3/2016,1,,
USD,USD,10/4/2016,1,,
USD,USD,10/5/2016,1,,
USD,USD,10/6/2016,1,,
USD,USD,10/7/2016,1,,
USD,USD,10/8/2016,1,,
USD,USD,10/9/2016,1,,
USD,USD,10/10/2016,1,,
USD,USD,10/11/2016,1,,
USD,USD,10/12/2016,1,,
USD,USD,10/13/2016,1,,
USD,USD,10/14/2016,1,,
USD,USD,10/15/2016,1,,
USD,USD,10/16/2016,1,,
USD,USD,10/17/2016,1,,
USD,USD,10/18/2016,1,,
USD,USD,10/19/2016,1,,
USD,USD,10/20/2016,1,,
USD,USD,10/21/2016,1,,
USD,USD,10/22/2016,1,,
USD,USD,10/23/2016,1,,
USD,USD,10/24/2016,1,,
USD,USD,10/25/2016,1,,
USD,USD,10/26/2016,1,,
USD,USD,10/27/2016,1,,
USD,USD,10/28/2016,1,,
USD,USD,10/29/2016,1,,
USD,USD,10/30/2016,1,,
USD,USD,10/31/2016,1,,
USD,USD,11/1/2016,1,,
USD,USD,11/2/2016,1,,
USD,USD,11/3/2016,1,,
USD,USD,11/4/2016,1,,
USD,USD,11/5/2016,1,,
USD,USD,11/6/2016,1,,
USD,USD,11/7/2016,1,,
USD,USD,11/8/2016,1,,
USD,USD,11/9/2016,1,,
USD,USD,11/10/2016,1,,
USD,USD,11/11/2016,1,,
USD,USD,11/12/2016,1,,
USD,USD,11/13/2016,1,,
USD,USD,11/14/2016,1,,
USD,USD,11/15/2016,1,,
USD,USD,11/16/2016,1,,
USD,USD,11/17/2016,1,,
USD,USD,11/18/2016,1,,
USD,USD,11/19/2016,1,,
USD,USD,11/20/2016,1,,
USD,USD,11/21/2016,1,,
USD,USD,11/22/2016,1,,
USD,USD,11/23/2016,1,,
USD,USD,11/24/2016,1,,
USD,USD,11/25/2016,1,,
USD,USD,11/26/2016,1,,
USD,USD,11/27/2016,1,,
USD,USD,11/28/2016,1,,
USD,USD,11/29/2016,1,,
USD,USD,11/30/2016,1,,
USD,USD,12/1/2016,1,,
USD,USD,12/2/2016,1,,
USD,USD,12/3/2016,1,,
USD,USD,12/4/2016,1,,
USD,USD,12/5/2016,1,,
USD,USD,12/6/2016,1,,
USD,USD,12/7/2016,1,,
USD,USD,12/8/2016,1,,
USD,USD,12/9/2016,1,,
USD,USD,12/10/2016,1,,
USD,USD,12/11/2016,1,,
USD,USD,12/12/2016,1,,
USD,USD,12/13/2016,1,,
USD,USD,12/14/2016,1,,
USD,USD,12/15/2016,1,,
USD,USD,12/16/2016,1,,
USD,USD,12/17/2016,1,,
USD,USD,12/18/2016,1,,
USD,USD,12/19/2016,1,,
USD,USD,12/20/2016,1,,
USD,USD,12/21/2016,1,,
USD,USD,12/22/2016,1,,
USD,USD,12/23/2016,1,,
USD,USD,12/24/2016,1,,
USD,USD,12/25/2016,1,,
USD,USD,12/26/2016,1,,
USD,USD,12/27/2016,1,,
USD,USD,12/28/2016,1,,
USD,USD,12/29/2016,1,,
USD,USD,12/30/2016,1,,
USD,USD,12/31/2016,1,,
USD,USD,1/1/2017,1,,
USD,USD,1/2/2017,1,,
USD,USD,1/3/2017,1,,
USD,USD,1/4/2017,1,,
USD,USD,1/5/2017,1,,
USD,USD,1/6/2017,1,,
USD,USD,1/7/2017,1,,
USD,USD,1/8/2017,1,,
USD,USD,1/9/2017,1,,
USD,USD,1/10/2017,1,,
USD,USD,1/11/2017,1,,
USD,USD,1/12/2017,1,,
USD,USD,1/13/2017,1,,
USD,USD,1/14/2017,1,,
USD,USD,1/15/2017,1,,
USD,USD,1/16/2017,1,,
USD,USD,1/17/2017,1,,
USD,USD,1/18/2017,1,,
USD,USD,1/19/2017,1,,
USD,USD,1/20/2017,1,,
USD,USD,1/21/2017,1,,
USD,USD,1/22/2017,1,,
USD,USD,1/23/2017,1,,
USD,USD,1/24/2017,1,,
USD,USD,1/25/2017,1,,
USD,USD,1/26/2017,1,,
USD,USD,1/27/2017,1,,
USD,USD,1/28/2017,1,,
USD,USD,1/29/2017,1,,
USD,USD,1/30/2017,1,,
USD,USD,1/31/2017,1,,
USD,USD,2/1/2017,1,,
USD,USD,2/2/2017,1,,
USD,USD,2/3/2017,1,,
USD,USD,2/4/2017,1,,
USD,USD,2/5/2017,1,,
USD,USD,2/6/2017,1,,
USD,USD,2/7/2017,1,,
USD,USD,2/8/2017,1,,
USD,USD,2/9/2017,1,,
USD,USD,2/10/2017,1,,
USD,USD,2/11/2017,1,,
USD,USD,2/12/2017,1,,
USD,USD,2/13/2017,1,,
USD,USD,2/14/2017,1,,
USD,USD,2/15/2017,1,,
USD,USD,2/16/2017,1,,
USD,USD,2/17/2017,1,,
USD,USD,2/18/2017,1,,
USD,USD,2/19/2017,1,,
USD,USD,2/20/2017,1,,
USD,USD,2/21/2017,1,,
USD,USD,2/22/2017,1,,
USD,USD,2/23/2017,1,,
USD,USD,2/24/2017,1,,
USD,USD,2/25/2017,1,,
USD,USD,2/26/2017,1,,
USD,USD,2/27/2017,1,,
USD,USD,2/28/2017,1,,
USD,USD,3/1/2017,1,,
