LANGUAGE,KeywordInEnglish,Description,Keyword,Category
English,Personal,,Personal,Personal
English,Vacation,,Vacation,Personal
English,Holiday,,Holiday,Personal
English,Family,,Family,Personal
English,Wife,,Wife,Personal
English,Children,,Children,Personal
English,Kid,,Kid,Personal
English,Son,,Son,Personal
English,Daughter,,Daughter,Personal
English,Parent,,Parent,Personal
English,Father,,Father,Personal
English,Mother,,Mother,Personal
English,Dad,,Dad,Personal
English,Mom,,Mom,Personal
English,Sister,,Sister,Personal
English,Brother,,Brother,Personal
English,Game,,Game,Personal
English,Beach,,Beach,Personal
English,Fun,,Fun,Personal
English,Lounge,,Lounge,Personal
English,Shopping,,Shopping,Personal
English,Movie,,Movie,Personal
English,Spa,,Spa,Personal
English,Gym,,Gym,Personal
English,Child Care,,Child Care,Personal
English,Housing,,Housing,Personal
English,Pet,,Pet,Personal
English,Dog,,Dog,Personal
English,Cat,,Cat,Personal
English,Salon,,Salon,Personal
English,Parlor,,Parlor,Personal
English,Beauty,,Beauty,Personal
English,Cloth,,Cloth,Personal
English,Bag,,Bag,Personal
English,Belt,,Belt,Personal
English,Shoe,,Shoe,Personal
English,Style,,Style,Personal
English,Accessories,,Accessories,Personal
English,Book,,Book,Personal
English,Magazine,,Magazine,Personal
English,Newspaper,,Newspaper,Personal
English,Soap,,Soap,Personal
English,Shampoo,,Shampoo,Personal
English,Toiletries,,Toiletries,Personal
English,Manicure,,Manicure,Personal
English,Pedicure,,Pedicure,Personal
English,Facial,,Facial,Personal
English,Hair Cut,,Hair Cut,Personal
English,Tuition,,Tuition,Personal
English,Textbook,,Textbook,Personal
English,Registration,,Registration,Personal
English,Lab Fees,,Lab Fees,Personal
English,Parking Ticket,,Parking Ticket,Personal
English,Fine,,Fine,Personal
English,Day Care,,Day Care,Personal
English,Kindergarten,,Kindergarten,Personal
English,Baby Sit,,Baby Sit,Personal
English,Prescription,,Prescription,Personal
English,Medicine,,Medicine,Personal
English,Medication,,Medication,Personal
English,Doctor,,Doctor,Personal
English,Hospital,,Hospital,Personal
English,Nursing,,Nursing,Personal
English,Nurse,,Nurse,Personal
English,Drugs,,Drugs,Personal
English,Game,,Game,Personal
English,Ticket,,Ticket,Personal
English,BAR,,BAR,Personal
English,BEVERAGE,,BEVERAGE,Personal
English,BONUS,,BONUS,Personal
English,CANDY,,CANDY,Personal
English,CASINO,,CASINO,Personal
English,CHARITY,,CHARITY,Personal
English,DONATE,,DONATE,Personal
English,DRINK,,DRINK,Personal
English,EQUIPMENT,,EQUIPMENT,Personal
English,GOLF,,GOLF,Personal
English,LIMO,,LIMO,Personal
English,LOTTERY,,LOTTERY,Personal
English,PARTY,,PARTY,Personal
English,TOUR,,TOUR,Personal
English,TOWING,,TOWING,Personal
English,Baseball,,Baseball,Personal
English,Football,,Football,Personal
English,Pay Per View,,Pay Per View,Personal
English,Superbowl,,Superbowl,Personal
English,Soccer,,Soccer,Personal
English,Theatre,,Theatre,Personal
English,Cinema,,Cinema,Personal
English,Concert,,Concert,Personal
English,Media,,Media,Personal
English,Publication,,Publication,Personal
English,Cable,,Cable,Personal
English,Netflix,,Netflix,Personal
English,Hulu,,Hulu,Personal
English,HBO,,HBO,Personal
English,VALET,,VALET,Personal
English,Green Fee,,Green Fee,Personal
English,Skincare,,Skincare,Personal
English,Cosmetic,,Cosmetic,Personal
English,Apartment,,Apartment,Personal
English,Rover,,Rover,Personal
English,Tigers,,Tigers,Personal
English,Lions,,Lions,Personal
English,Red Wings,,Red Wings,Personal
English,Pistons,,Pistons,Personal
English,Detroit BB,,Detroit BB,Personal
English,Texas BB,,Texas BB,Personal
English,Ticket,,Ticket,Personal
English,Golf,,Golf,Personal
English,Country Club,,Country Club,Personal
English,CC,,CC,Personal
English,Club,,Club,Personal
English,Dropbox,,Dropbox,Personal
English,iTunes,,iTunes,Personal
English,Mont Blanc,,Mont Blanc,Personal
English,Tumi,,Tumi,Personal
English,Bose,,Bose,Personal
English,Yeti,,Yeti,Personal
English,Stubhub,,Stubhub,Personal
English,Stub Hub,,Stub Hub,Personal
English,PPV,,PPV,Personal
English,Ball,,Ball,Personal
English,Kennel,,Kennel,Personal
English,Gametime,,Gametime,Personal
English,Flashseats,,Flashseats,Personal
English,Vividseats,,Vividseats,Personal
English,Donation,,Donation,Personal
English,Charitable,,Charitable,Personal
English,Bribe,,Bribe,Personal
English,Jewellery,,Jewellwry,Personal
English,Woods,,Woods,Entertainment
English,Entertainment,,Entertainment,Entertainment
English,Game,,Game,Entertainment
English,Vendor 891,,Vendor 891,Unusual Vendors
English,Vendor 77,,Vendor 77,Unusual Vendors
English,Toll,,Toll,OOP Transactions
English,Tip,,Tip,OOP Transactions
English,Tax,,Tax,OOP Transactions
English,Shopping,,Shopping,Non Reimbursible
English,Bar,,Bar,Non Reimbursible
English,Alcohol,,Alcohol,Non Reimbursible
English,Party,,Party,Non Reimbursible
English,Printing,,Printing,Non Reimbursible
English,Photocopy,,Photocopy,Non Reimbursible
English,Promotions,,Promotions,Non Reimbursible
