TransactionNativeID,Traveler Name,Department,Itinerary number,Transaction date,Booking Date,Transaction type,Domestic / International,Travel start date,Travel end date,Transaction amount,Booking Reference/PNR,Ticket number,Reason code,Booking method,Airline/Vendor,Traveler Group,Card Number,Flight,Origin city,Destination city,Class of service,Cabin type,Reason for travel,UserDefinedColumn1,UserDefinedColumn2,UserDefinedColumn3,UserDefinedColumn4,UserDefinedColumn5
1,Employee Name88,,S2FY4G,12/12/2018,11/23/2018,Original,Continental,12/12/2018,12/14/2018,154.8195759,FKUCTB,S2FY4G,,,RYANAIR,,,,DUBLIN,LONDON,*,,,,,,,
2,Employee Name106,,2083400882,5/10/2018,5/8/2018,Original,Continental,5/10/2018,5/10/2018,318.0483276,KPMY0S,2083400882,,,CHINA EASTERN AIRLINES,,,,TAIPEI,SHANGHAI,K,,,,,,,
3,Employee Name106,,2761080620,8/8/2018,7/19/2018,Refund,Continental,8/8/2018,8/8/2018,-48.24061863,JWS8H5,2761080620,,,CHINA EASTERN AIRLINES,,,,SHANGHAI,HONG KONG,V,,,,,,,
4,Employee Name39,,7169113834,8/5/2018,8/4/2018,Exchange,Continental,8/5/2018,8/7/2018,847.45,ROQYMK,7169113834,,,AMERICAN AIRLINES,,,,LOS ANGELES,MEXICO CITY,K,,,,,,,
5,Employee Name5,,5621719968,9/18/2018,8/30/2018,Original,Continental,9/18/2018,9/21/2018,428.3918385,RSMAAC,5621719968,,,SWISS,,,,ATHENS,ZURICH,Q,,,,,,,
6,Employee Name33,,3165063055,12/13/2018,12/13/2018,Original,Domestic,12/13/2018,12/13/2018,267.7634082,HLSDHU,3165063055,,,IBERIA,,,,MADRID,BARCELONA,Y,,,,,,,
7,Employee Name35,,7036992489,1/26/2018,1/14/2018,Exchange,Intercontinental,1/26/2018,2/10/2018,0,BDKBVM,7036992489,,,LATAM AIRLINES GROUP,,,,LOS ANGELES,BUENOS AIRES,C,,,,,,,
8,Employee Name33,,5357315337,3/13/2018,3/2/2018,Original,Continental,3/13/2018,3/13/2018,123.2331092,EGNOSF,5357315337,,,TAP AIR PORTUGAL,,,,LISBON,LONDON,K,,,,,,,
9,Employee Name33,,5183057954,1/19/2018,1/15/2018,Original,Domestic,1/19/2018,1/19/2018,299.4275625,NXIJZN,5183057954,,,IBERIA,,,,BARCELONA,MADRID,N,,,,,,,
10,Employee Name33,,2628696674,5/17/2018,5/11/2018,Original,Continental,5/17/2018,5/17/2018,96.92121695,KDVLWX,2628696674,,,IBERIA,,,,LONDON,BARCELONA,Q,,,,,,,
11,Employee Name95,,1014172366,10/3/2018,9/5/2018,Original,Domestic,10/3/2018,10/4/2018,2129.919821,HUKVCL,1014172366,,,AIR CANADA,,,,TORONTO,VANCOUVER,P,,,,,,,
12,Employee Name95,,2104364776,12/8/2018,12/9/2018,Original,Continental,12/8/2018,12/16/2018,126.2532688,CHLRMU,2104364776,,,AIR CANADA,,,,TORONTO,LOS ANGELES,P,,,,,,,
13,Employee Name106,,2081338389,4/17/2018,3/30/2018,Original,Intercontinental,4/17/2018,4/18/2018,2835.772605,KFCST7,2081338389,,,CHINA EASTERN AIRLINES,,,,LONDON,SHANGHAI,I,,,,,,,
14,Employee Name30,,2579377329,6/26/2018,6/20/2018,Original,Continental,6/26/2018,6/28/2018,581.4142787,EYFVVS,2579377329,,,AER LINGUS,,,,AMSTERDAM,DUBLIN,R,,,,,,,
15,Employee Name106,,5176010518,1/23/2018,1/26/2018,Refund,Domestic,1/23/2018,1/23/2018,-236.4515936,JN2VD5,5176010518,,,CHINA EASTERN AIRLINES,,,,HAIKOU,SHANGHAI,I,,,,,,,
16,Employee Name11,,7222616239,12/10/2018,11/8/2018,Original,Intercontinental,12/10/2018,12/14/2018,4637.43,CSQJGB,7222616239,,,TURKISH AIRLINES,,,,LOS ANGELES,ISTANBUL,K,,,,,,,
17,Employee Name11,,7057508918,3/20/2018,3/15/2018,Original,Continental,3/20/2018,3/20/2018,535.9,TBZIQF,7057508918,,,DELTA AIR LINES,,,,LOS ANGELES,SAN JUAN,Z,,,,,,,
18,Employee Name68,,7239112304,1/29/2019,1/11/2019,Original,Domestic,1/29/2019,1/29/2019,101.3,FQDVLA,7239112304,,,ALASKA AIRLINES,,,,SEATTLE,SAN FRANCISCO,R,,,,,,,
19,Employee Name150,,1337692494,5/10/2018,5/8/2018,Original,Continental,5/10/2018,5/10/2018,532.877394,,1337692494,,,VUELING AIRLINES SA,,,,BARCELONA,LISBON,Y,,,,,,,
20,Employee Name112,,5181373439,2/1/2018,1/24/2018,Original,Domestic,2/1/2018,2/1/2018,189.7835159,KMPRJV,5181373439,,,AIR CHINA,,,,BEIJING,SHANGHAI,Y,,,,,,,
21,Employee Name106,,2739805803,8/14/2018,8/6/2018,Original,Domestic,8/14/2018,8/14/2018,197.1886285,JEMFVB,2739805803,,,CHINA EASTERN AIRLINES,,,,SHANGHAI,BEIJING,Y,,,,,,,
22,Employee Name106,,2761586738,8/8/2018,7/19/2018,Original,Continental,8/8/2018,8/8/2018,674.0286436,HQWDMV,2761586738,,,CATHAY PACIFIC AIRWAYS,,,,SHANGHAI,HONG KONG,J,,,,,,,
